C,accuracy,roc_auc
0.01,0.8066666666666666,0.8754421018786458
0.1,0.8016666666666666,0.8754765513756833
1.0,0.8,0.8756143493638325
10.0,0.8,0.8756373156951908
100.0,0.8016666666666666,0.87564879886087
